layer	component	feature	selection_frequency	mean_abs_loading	median_abs_loading
mRNA	1	AP2M1	5	0.06565006193009061	0.04387764935270205
mRNA	1	ATP1B3	4	0.17721842861824336	0.1794379607527935
mRNA	1	JUP	4	0.16740575513993178	0.16697937433851745
mRNA	1	SLC2A1	4	0.16181426953910116	0.1621786052934161
mRNA	1	DSG3	4	0.15585170509578472	0.15171992230653736
mRNA	1	EIF4G1	4	0.1509695757783361	0.1508421307151938
mRNA	1	MUC1	4	0.14793746093929028	0.14818983911426636
mRNA	1	KRT6A	4	0.1378722924218499	0.13761316502437412
mRNA	1	GPC1	4	0.13339191467104575	0.13342769853293046
mRNA	1	CALML3	4	0.12766067276989576	0.12563141018931007
mRNA	1	COL7A1	4	0.12443095779379898	0.11969273455700777
mRNA	1	DST	4	0.12418856382298614	0.12292698348201636
mRNA	1	ABCC5	4	0.12328221827682019	0.11760533136622683
mRNA	1	CD9	4	0.12252137049357056	0.12270782004893382
mRNA	1	CD63	4	0.12017281490632181	0.11993462021690685
mRNA	1	DSP	4	0.11990043527142458	0.11892176552891792
mRNA	1	NTRK2	4	0.11885543234176987	0.11917247801665753
mRNA	1	ITGA6	4	0.1112727214154811	0.11028805249072623
mRNA	1	ATP11A	4	0.1095213040525618	0.10985688499308688
mRNA	1	SLC34A2	4	0.10944431901889198	0.10990457071458071
mRNA	1	SFN	4	0.1065481974345267	0.10021354655976866
mRNA	1	CLCA2	4	0.10518322863546735	0.10437693093147551
mRNA	1	FSCN1	4	0.10312316296426707	0.10148060457613337
mRNA	1	CLSTN1	4	0.0989567281883794	0.09914974774414383
mRNA	1	DDR1	4	0.09872603565339588	0.09915651208068202
mRNA	1	KRT17	4	0.09445215590636392	0.09284143133497015
mRNA	1	GAPDH	4	0.09277045272764979	0.08240495955578134
mRNA	1	C1orf116	4	0.08256495045133269	0.08243766723373794
mRNA	1	TPI1	4	0.08187002690828694	0.07941339864646432
mRNA	1	QSOX1.1	4	0.0818451866497847	0.08422506164773995
mRNA	1	ABCC1	4	0.08032076175433278	0.07822395000946658
mRNA	1	GPI	4	0.07927379963196006	0.07483163636477788
mRNA	1	EIF4A2	4	0.07760180652234093	0.07181735262836672
mRNA	1	TRAM1	4	0.07759407809034644	0.07749753733052145
mRNA	1	TFRC	4	0.07703323982566318	0.06994308553408336
mRNA	1	NAPSA	4	0.0761265575131411	0.07839289295154053
mRNA	1	RPL35A	4	0.0730841674100153	0.07011050443412663
mRNA	1	CEACAM6	4	0.0683814489932399	0.07006992656615077
mRNA	1	GJA1	4	0.06752608260038358	0.06667606549086785
mRNA	1	CD46	4	0.06588732855723634	0.06498768535265856
